"name"	"country.etc"	"pop"	"lat"	"long"	"capital"
"Golden BC"	"BC"	4041	51.3	-116.97	0
"Golden ON"	"ON"	1291	45.58	-77.25	0
"Goulds NL"	"NL"	3926	47.4	-52.79	0
"Granby QC"	"QC"	54171	45.41	-72.73	0
"Grand Bank NL"	"NL"	4777	47.1	-55.76	0
"Grand Bend ON"	"ON"	2085	43.32	-81.75	0
"Grand Centre AB"	"AB"	12531	54.42	-110.22	0
"Grand Falls NB"	"NB"	5630	47.05	-67.73	0
"Grand Falls-Windsor NL"	"NL"	11899	48.93	-55.66	0
"Grand Forks BC"	"BC"	4211	49.05	-118.47	0
"Grand Valley ON"	"ON"	1879	43.9	-80.32	0
"Grande Cache AB"	"AB"	4072	53.88	-119.12	0
"Grande Prairie AB"	"AB"	42712	55.18	-118.8	0
"Grande-Riviere QC"	"QC"	1514	48.38	-64.5	0
"Gravelbourg SK"	"SK"	1091	49.88	-106.55	0
"Gravenhurst ON"	"ON"	5913	44.92	-79.37	0
"Grenfell SK"	"SK"	980	50.42	-102.92	0
"Grimshaw AB"	"AB"	2590	56.18	-117.6	0
"Guelph ON"	"ON"	117979	43.56	-80.26	0
"Gull Lake SK"	"SK"	934	50.1	-108.48	0
"Hagersville ON"	"ON"	2657	42.95	-80.05	0
"Haileybury ON"	"ON"	11131	47.43	-79.63	0
"Haines Junction YT"	"YT"	1191	60.76	-137.51	0
"Halifax NS"	"NS"	263547	44.67	-63.61	2
"Hamilton ON"	"ON"	661942	43.26	-79.85	0
"Hammonds Plains Road NS"	"NS"	1109	44.79	-63.71	0
"Hampton NB"	"NB"	2616	45.53	-65.83	0
"Hanna AB"	"AB"	3176	51.63	-111.92	0
"Hanover ON"	"ON"	7348	44.15	-81.03	0
"Hantsport NS"	"NS"	1241	45.07	-64.18	0
"Happy Valley-Goose Bay NL"	"NL"	6034	53.34	-60.4	0
"Harbour Breton NL"	"NL"	1856	47.48	-55.83	0
"Hare Bay NL"	"NL"	946	48.85	-54.02	0
"Harriston ON"	"ON"	2176	43.92	-80.88	0
"Harrow ON"	"ON"	3140	42.03	-82.92	0
"Hastings ON"	"ON"	1292	44.3	-77.95	0
"Hauterive QC"	"QC"	12862	49.18	-68.27	0
"Havelock ON"	"ON"	1421	44.44	-77.88	0
"Havre-Saint-Pierre QC"	"QC"	2976	50.25	-63.58	0
"Hawkesbury ON"	"ON"	12439	45.62	-74.6	0
"Hay River NT"	"NT"	3064	60.86	-115.75	0
"Hearst ON"	"ON"	4806	49.7	-83.67	0
"Hebertville QC"	"QC"	1697	48.4	-71.68	0
"Hensall ON"	"ON"	1277	43.43	-81.5	0
"High Level AB"	"AB"	3664	58.52	-117.13	0
"High Prairie AB"	"AB"	2912	55.43	-116.48	0
"High River AB"	"AB"	9941	50.58	-113.87	0
"Hillsburgh ON"	"ON"	1281	43.81	-80.15	0
"Hinton AB"	"AB"	10005	53.4	-117.58	0
"Hope BC"	"BC"	4602	49.38	-121.43	0
"Hornepayne ON"	"ON"	1403	49.22	-84.78	0
"Houston BC"	"BC"	2886	54.4	-126.65	0
"Hudson Bay SK"	"SK"	1634	52.85	-102.38	0
"Humber Arm South NL"	"NL"	1123	49.07	-58.18	0
"Humboldt SK"	"SK"	4743	52.2	-105.12	0
"Huntingdon QC"	"QC"	2876	45.08	-74.18	0
"Huntsville ON"	"ON"	8073	45.32	-79.22	0
"Indian Head SK"	"SK"	1615	50.53	-103.67	0
"Ingersoll ON"	"ON"	12093	43.03	-80.88	0
"Innisfil ON"	"ON"	7439	44.26	-79.64	0
"Inuvik NT"	"NT"	3055	68.37	-133.73	0
"Invermere BC"	"BC"	2873	50.5	-116.03	0
"Inverness NS"	"NS"	1624	46.24	-61.31	0
"Iqaluit NU"	"NU"	6364	63.74	-68.55	2
"Iroquois Falls ON"	"ON"	4286	48.77	-80.69	0
"Iroquois ON"	"ON"	1314	44.85	-75.32	0
"Irricana AB"	"AB"	1104	51.32	-113.62	0
