"name"	"country.etc"	"pop"	"lat"	"long"	"capital"
"Conroe TX"	"TX"	42545	30.32	-95.47	0
"Conway AR"	"AR"	53297	35.09	-92.45	0
"Coon Rapids MN"	"MN"	62711	45.17	-93.31	0
"Coppell TX"	"TX"	40487	32.96	-96.99	0
"Coral Gables FL"	"FL"	42495	25.7	-80.26	0
"Coral Springs FL"	"FL"	134773	26.27	-80.26	0
"Corona CA"	"CA"	159198	33.87	-117.57	0
"Corpus Christi TX"	"TX"	280808	27.71	-97.29	0
"Corvallis OR"	"OR"	50932	44.57	-123.28	0
"Costa Mesa CA"	"CA"	109357	33.67	-117.91	0
"Council Bluffs IA"	"IA"	58834	41.24	-95.86	0
"Country Club FL"	"FL"	58321	25.95	-80.32	0
"Covina CA"	"CA"	49039	34.09	-117.88	0
"Covington KY"	"KY"	41896	39.04	-84.51	0
"Cranston RI"	"RI"	83595	41.77	-71.48	0
"Crystal Lake IL"	"IL"	41874	42.23	-88.33	0
"Culver City CA"	"CA"	40361	34.01	-118.4	0
"Cupertino CA"	"CA"	50952	37.31	-122.05	0
"Cuyahoga Falls OH"	"OH"	52223	41.17	-81.52	0
"Cypress CA"	"CA"	47521	33.82	-118.04	0
"Dale City VA"	"VA"	62241	38.65	-77.34	0
"Dallas TX"	"TX"	1216543	32.79	-96.77	0
"Daly City CA"	"CA"	98084	37.69	-122.47	0
"Danbury CT"	"CT"	79292	41.4	-73.47	0
"Danville CA"	"CA"	43110	37.81	-121.97	0
"Danville VA"	"VA"	45382	36.58	-79.41	0
"Davenport IA"	"IA"	96595	41.56	-90.6	0
"Davie FL"	"FL"	84154	26.08	-80.29	0
"Davis CA"	"CA"	66992	38.55	-121.74	0
"Dayton OH"	"OH"	157607	39.78	-84.2	0
"Daytona Beach FL"	"FL"	64735	29.19	-81.05	0
"DeKalb IL"	"IL"	44223	41.93	-88.75	0
"DeSoto TX"	"TX"	47179	32.6	-96.86	0
"Dearborn Heights MI"	"MI"	55964	42.33	-83.27	0
"Dearborn MI"	"MI"	94681	42.31	-83.21	0
"Decatur AL"	"AL"	54717	34.57	-86.99	0
"Decatur IL"	"IL"	77026	39.85	-88.93	0
"Deerfield Beach FL"	"FL"	66628	26.31	-80.12	0
"Delano CA"	"CA"	45933	35.76	-119.25	0
"Delray Beach FL"	"FL"	66633	26.45	-80.09	0
"Deltona FL"	"FL"	84646	28.91	-81.21	0
"Dennis MA"	"MA"	39833	41.74	-70.2	0
"Denton TX"	"TX"	105431	33.21	-97.13	0
"Denver CO"	"CO"	556575	39.77	-104.87	2
"Des Moines IA"	"IA"	192050	41.58	-93.62	2
"Des Plaines IL"	"IL"	53601	42.03	-87.9	0
"Detroit MI"	"MI"	871789	42.38	-83.1	0
